parent_product,child_product,quantity
TYRE_0000,TYRE_0076,3
TYRE_0000,TYRE_0018,3
TYRE_0003,TYRE_0051,2
TYRE_0005,TYRE_0040,4
TYRE_0005,TYRE_0010,3
TYRE_0007,TYRE_0146,3
TYRE_0007,TYRE_0074,3
TYRE_0008,TYRE_0131,1
TYRE_0010,TYRE_0025,2
TYRE_0011,TYRE_0112,2
TYRE_0011,TYRE_0039,3
TYRE_0015,TYRE_0010,4
TYRE_0015,TYRE_0070,1
TYRE_0016,TYRE_0075,2
TYRE_0016,TYRE_0005,4
TYRE_0017,TYRE_0066,3
TYRE_0017,TYRE_0135,1
TYRE_0018,TYRE_0080,1
TYRE_0019,TYRE_0123,1
TYRE_0020,TYRE_0091,1
TYRE_0020,TYRE_0043,4
TYRE_0021,TYRE_0070,2
TYRE_0021,TYRE_0096,3
TYRE_0023,TYRE_0145,4
TYRE_0024,TYRE_0071,4
TYRE_0024,TYRE_0084,1
TYRE_0025,TYRE_0037,1
TYRE_0025,TYRE_0115,2
TYRE_0027,TYRE_0007,3
TYRE_0028,TYRE_0060,1
TYRE_0028,TYRE_0087,4
TYRE_0029,TYRE_0078,3
TYRE_0029,TYRE_0043,2
TYRE_0030,TYRE_0081,4
TYRE_0030,TYRE_0019,3
TYRE_0032,TYRE_0075,3
TYRE_0032,TYRE_0143,4
TYRE_0035,TYRE_0006,3
TYRE_0035,TYRE_0080,1
TYRE_0036,TYRE_0148,1
TYRE_0037,TYRE_0135,2
TYRE_0038,TYRE_0042,1
TYRE_0038,TYRE_0034,1
TYRE_0039,TYRE_0122,3
TYRE_0042,TYRE_0120,4
TYRE_0042,TYRE_0078,4
TYRE_0047,TYRE_0090,4
TYRE_0047,TYRE_0110,2
TYRE_0051,TYRE_0054,1
TYRE_0052,TYRE_0145,2
TYRE_0052,TYRE_0087,3
TYRE_0053,TYRE_0122,3
TYRE_0053,TYRE_0110,2
TYRE_0054,TYRE_0123,1
TYRE_0055,TYRE_0009,4
TYRE_0055,TYRE_0053,2
TYRE_0057,TYRE_0126,1
TYRE_0057,TYRE_0048,4
TYRE_0058,TYRE_0138,3
TYRE_0059,TYRE_0071,1
TYRE_0059,TYRE_0014,2
TYRE_0060,TYRE_0059,3
TYRE_0060,TYRE_0064,1
TYRE_0061,TYRE_0095,3
TYRE_0062,TYRE_0118,2
TYRE_0062,TYRE_0012,2
TYRE_0064,TYRE_0081,3
TYRE_0064,TYRE_0060,1
TYRE_0066,TYRE_0011,2
TYRE_0066,TYRE_0010,1
TYRE_0067,TYRE_0127,1
TYRE_0067,TYRE_0081,4
TYRE_0068,TYRE_0007,4
TYRE_0068,TYRE_0020,2
TYRE_0070,TYRE_0027,3
TYRE_0070,TYRE_0091,3
TYRE_0071,TYRE_0043,1
TYRE_0073,TYRE_0122,2
TYRE_0074,TYRE_0042,3
TYRE_0074,TYRE_0043,3
TYRE_0075,TYRE_0118,4
TYRE_0078,TYRE_0022,2
TYRE_0078,TYRE_0033,3
TYRE_0079,TYRE_0149,4
TYRE_0079,TYRE_0015,4
TYRE_0080,TYRE_0017,1
TYRE_0086,TYRE_0093,3
TYRE_0086,TYRE_0033,3
TYRE_0090,TYRE_0127,4
TYRE_0091,TYRE_0124,2
TYRE_0093,TYRE_0102,4
TYRE_0093,TYRE_0041,1
TYRE_0096,TYRE_0049,2
TYRE_0098,TYRE_0132,4
TYRE_0098,TYRE_0121,3
TYRE_0099,TYRE_0053,1
TYRE_0099,TYRE_0057,3
TYRE_0100,TYRE_0057,1
TYRE_0100,TYRE_0027,4
TYRE_0101,TYRE_0028,1
TYRE_0101,TYRE_0123,3
TYRE_0103,TYRE_0017,1
TYRE_0104,TYRE_0055,3
TYRE_0104,TYRE_0107,1
TYRE_0105,TYRE_0102,3
TYRE_0105,TYRE_0039,3
TYRE_0107,TYRE_0058,4
TYRE_0107,TYRE_0060,1
TYRE_0108,TYRE_0127,2
TYRE_0109,TYRE_0027,1
TYRE_0109,TYRE_0083,4
TYRE_0110,TYRE_0042,3
TYRE_0111,TYRE_0141,1
TYRE_0112,TYRE_0028,1
TYRE_0112,TYRE_0084,3
TYRE_0113,TYRE_0043,2
TYRE_0113,TYRE_0019,2
TYRE_0114,TYRE_0140,4
TYRE_0114,TYRE_0034,3
TYRE_0115,TYRE_0016,1
TYRE_0117,TYRE_0104,3
TYRE_0117,TYRE_0097,1
TYRE_0119,TYRE_0121,4
TYRE_0120,TYRE_0080,1
TYRE_0121,TYRE_0021,4
TYRE_0122,TYRE_0112,3
TYRE_0123,TYRE_0048,2
TYRE_0124,TYRE_0089,4
TYRE_0125,TYRE_0106,1
TYRE_0125,TYRE_0087,1
TYRE_0126,TYRE_0089,2
TYRE_0127,TYRE_0142,4
TYRE_0127,TYRE_0011,3
TYRE_0129,TYRE_0091,2
TYRE_0129,TYRE_0124,1
TYRE_0130,TYRE_0048,4
TYRE_0131,TYRE_0048,2
TYRE_0132,TYRE_0052,1
TYRE_0132,TYRE_0084,1
TYRE_0133,TYRE_0083,1
TYRE_0133,TYRE_0063,4
TYRE_0134,TYRE_0058,4
TYRE_0134,TYRE_0009,4
TYRE_0135,TYRE_0082,2
TYRE_0135,TYRE_0081,2
TYRE_0136,TYRE_0052,2
TYRE_0136,TYRE_0140,3
TYRE_0139,TYRE_0036,4
TYRE_0139,TYRE_0046,4
TYRE_0140,TYRE_0081,1
TYRE_0143,TYRE_0094,4
TYRE_0149,TYRE_0027,4
