order_id,operation_seq,due_date,remaining_time,slack_time,priority,processing_time
ORD_00887,1,2026-02-12,174,162.0,L,10
ORD_00887,2,2026-02-12,174,162.0,L,22
ORD_00887,3,2026-02-12,174,162.0,L,19
ORD_00887,4,2026-02-12,174,162.0,L,23
ORD_00887,5,2026-02-12,174,162.0,L,77
ORD_00887,6,2026-02-12,174,162.0,L,11
ORD_00887,7,2026-02-12,174,162.0,L,12
ORD_00544,1,2026-01-18,377,-281.0,M,17
ORD_00544,2,2026-01-18,377,-281.0,M,32
ORD_00544,3,2026-01-18,377,-281.0,M,37
ORD_00544,4,2026-01-18,377,-281.0,M,28
ORD_00544,5,2026-01-18,377,-281.0,M,29
ORD_00544,6,2026-01-18,377,-281.0,M,28
ORD_00544,7,2026-01-18,377,-281.0,M,88
ORD_00544,8,2026-01-18,377,-281.0,M,84
ORD_00544,9,2026-01-18,377,-281.0,M,20
ORD_00544,10,2026-01-18,377,-281.0,M,14
ORD_00688,1,2026-02-02,227,-59.0,M,20
ORD_00688,2,2026-02-02,227,-59.0,M,17
ORD_00688,3,2026-02-02,227,-59.0,M,18
ORD_00688,4,2026-02-02,227,-59.0,M,42
ORD_00688,5,2026-02-02,227,-59.0,M,39
ORD_00688,6,2026-02-02,227,-59.0,M,42
ORD_00688,7,2026-02-02,227,-59.0,M,27
ORD_00688,8,2026-02-02,227,-59.0,M,22
ORD_00218,1,2026-02-03,262,50.0,L,27
ORD_00237,1,2026-01-12,262,-94.0,M,27
ORD_00218,2,2026-02-03,262,50.0,L,41
ORD_00237,2,2026-01-12,262,-94.0,M,41
ORD_00218,3,2026-02-03,262,50.0,L,43
ORD_00237,3,2026-01-12,262,-94.0,M,43
ORD_00218,4,2026-02-03,262,50.0,L,38
ORD_00237,4,2026-01-12,262,-94.0,M,38
ORD_00218,5,2026-02-03,262,50.0,L,85
ORD_00237,5,2026-01-12,262,-94.0,M,85
ORD_00218,6,2026-02-03,262,50.0,L,11
ORD_00237,6,2026-01-12,262,-94.0,M,11
ORD_00218,7,2026-02-03,262,50.0,L,17
ORD_00237,7,2026-01-12,262,-94.0,M,17
ORD_00527,1,2026-01-23,230,-110.0,M,29
ORD_00648,1,2026-02-05,230,-86.0,M,29
ORD_00715,1,2026-01-16,230,-158.0,H,29
ORD_00968,1,2026-01-10,230,-110.0,M,29
ORD_00527,2,2026-01-23,230,-110.0,M,32
ORD_00648,2,2026-02-05,230,-86.0,M,32
ORD_00715,2,2026-01-16,230,-158.0,H,32
ORD_00968,2,2026-01-10,230,-110.0,M,32
ORD_00527,3,2026-01-23,230,-110.0,M,20
ORD_00648,3,2026-02-05,230,-86.0,M,20
ORD_00715,3,2026-01-16,230,-158.0,H,20
ORD_00968,3,2026-01-10,230,-110.0,M,20
ORD_00527,4,2026-01-23,230,-110.0,M,32
ORD_00648,4,2026-02-05,230,-86.0,M,32
ORD_00715,4,2026-01-16,230,-158.0,H,32
ORD_00968,4,2026-01-10,230,-110.0,M,32
ORD_00527,5,2026-01-23,230,-110.0,M,80
ORD_00648,5,2026-02-05,230,-86.0,M,80
ORD_00715,5,2026-01-16,230,-158.0,H,80
ORD_00968,5,2026-01-10,230,-110.0,M,80
ORD_00527,6,2026-01-23,230,-110.0,M,20
ORD_00648,6,2026-02-05,230,-86.0,M,20
ORD_00715,6,2026-01-16,230,-158.0,H,20
ORD_00968,6,2026-01-10,230,-110.0,M,20
ORD_00527,7,2026-01-23,230,-110.0,M,17
ORD_00648,7,2026-02-05,230,-86.0,M,17
ORD_00715,7,2026-01-16,230,-158.0,H,17
ORD_00968,7,2026-01-10,230,-110.0,M,17
ORD_00139,1,2026-02-14,211,149.0,L,20
ORD_00139,2,2026-02-14,211,149.0,L,23
ORD_00139,3,2026-02-14,211,149.0,L,21
ORD_00139,4,2026-02-14,211,149.0,L,48
ORD_00139,5,2026-02-14,211,149.0,L,53
ORD_00139,6,2026-02-14,211,149.0,L,22
ORD_00139,7,2026-02-14,211,149.0,L,24
ORD_00105,1,2026-01-09,267,-219.0,H,11
ORD_00454,1,2026-01-09,267,-99.0,M,11
ORD_00789,1,2026-01-16,267,-171.0,M,11
ORD_00105,2,2026-01-09,267,-219.0,H,19
ORD_00454,2,2026-01-09,267,-99.0,M,19
ORD_00789,2,2026-01-16,267,-171.0,M,19
ORD_00105,3,2026-01-09,267,-219.0,H,40
ORD_00454,3,2026-01-09,267,-99.0,M,40
ORD_00789,3,2026-01-16,267,-171.0,M,40
ORD_00105,4,2026-01-09,267,-219.0,H,34
ORD_00454,4,2026-01-09,267,-99.0,M,34
ORD_00789,4,2026-01-16,267,-171.0,M,34
ORD_00105,5,2026-01-09,267,-219.0,H,32
ORD_00454,5,2026-01-09,267,-99.0,M,32
ORD_00789,5,2026-01-16,267,-171.0,M,32
ORD_00105,6,2026-01-09,267,-219.0,H,78
ORD_00454,6,2026-01-09,267,-99.0,M,78
ORD_00789,6,2026-01-16,267,-171.0,M,78
ORD_00105,7,2026-01-09,267,-219.0,H,26
ORD_00454,7,2026-01-09,267,-99.0,M,26
ORD_00789,7,2026-01-16,267,-171.0,M,26
ORD_00105,8,2026-01-09,267,-219.0,H,27
ORD_00454,8,2026-01-09,267,-99.0,M,27
ORD_00789,8,2026-01-16,267,-171.0,M,27
ORD_00012,1,2026-01-15,270,-78.0,L,13
ORD_00097,1,2026-01-23,270,-102.0,M,13
ORD_00131,1,2026-02-02,270,-102.0,M,13
ORD_00214,1,2026-02-02,270,-174.0,M,13
ORD_00227,1,2026-01-23,270,-126.0,M,13
ORD_00274,1,2026-01-11,270,-126.0,M,13
ORD_00280,1,2026-01-27,270,-126.0,M,13
ORD_00298,1,2026-01-16,270,-150.0,M,13
ORD_00310,1,2026-01-15,270,-78.0,L,13
ORD_00337,1,2026-01-12,270,-126.0,M,13
ORD_00360,1,2026-02-02,270,-174.0,M,13
ORD_00493,1,2026-01-14,270,-6.0,L,13
ORD_00524,1,2026-01-26,270,-174.0,M,13
ORD_00531,1,2026-01-27,270,90.0,L,13
ORD_00554,1,2026-01-06,270,-174.0,M,13
ORD_00587,1,2026-01-26,270,-150.0,M,13
ORD_00627,1,2026-01-13,270,-102.0,M,13
ORD_00662,1,2026-01-19,270,-174.0,M,13
ORD_00665,1,2026-01-18,270,-174.0,M,13
ORD_00672,1,2026-01-19,270,-126.0,M,13
ORD_00730,1,2026-01-10,270,-150.0,M,13
ORD_00739,1,2026-01-14,270,-78.0,L,13
ORD_00772,1,2026-01-20,270,-150.0,M,13
ORD_00804,1,2026-01-29,270,90.0,L,13
ORD_00841,1,2026-02-01,270,-222.0,H,13
ORD_00903,1,2026-01-26,270,-102.0,M,13
ORD_00956,1,2026-01-06,270,-222.0,H,13
ORD_00012,2,2026-01-15,270,-78.0,L,39
ORD_00097,2,2026-01-23,270,-102.0,M,39
ORD_00131,2,2026-02-02,270,-102.0,M,39
ORD_00214,2,2026-02-02,270,-174.0,M,39
ORD_00227,2,2026-01-23,270,-126.0,M,39
ORD_00274,2,2026-01-11,270,-126.0,M,39
ORD_00280,2,2026-01-27,270,-126.0,M,39
ORD_00298,2,2026-01-16,270,-150.0,M,39
ORD_00310,2,2026-01-15,270,-78.0,L,39
ORD_00337,2,2026-01-12,270,-126.0,M,39
ORD_00360,2,2026-02-02,270,-174.0,M,39
ORD_00493,2,2026-01-14,270,-6.0,L,39
ORD_00524,2,2026-01-26,270,-174.0,M,39
ORD_00531,2,2026-01-27,270,90.0,L,39
ORD_00554,2,2026-01-06,270,-174.0,M,39
ORD_00587,2,2026-01-26,270,-150.0,M,39
ORD_00627,2,2026-01-13,270,-102.0,M,39
ORD_00662,2,2026-01-19,270,-174.0,M,39
ORD_00665,2,2026-01-18,270,-174.0,M,39
ORD_00672,2,2026-01-19,270,-126.0,M,39
ORD_00730,2,2026-01-10,270,-150.0,M,39
ORD_00739,2,2026-01-14,270,-78.0,L,39
ORD_00772,2,2026-01-20,270,-150.0,M,39
ORD_00804,2,2026-01-29,270,90.0,L,39
ORD_00841,2,2026-02-01,270,-222.0,H,39
ORD_00903,2,2026-01-26,270,-102.0,M,39
ORD_00956,2,2026-01-06,270,-222.0,H,39
ORD_00012,3,2026-01-15,270,-78.0,L,18
ORD_00097,3,2026-01-23,270,-102.0,M,18
ORD_00131,3,2026-02-02,270,-102.0,M,18
ORD_00214,3,2026-02-02,270,-174.0,M,18
ORD_00227,3,2026-01-23,270,-126.0,M,18
ORD_00274,3,2026-01-11,270,-126.0,M,18
ORD_00280,3,2026-01-27,270,-126.0,M,18
ORD_00298,3,2026-01-16,270,-150.0,M,18
ORD_00310,3,2026-01-15,270,-78.0,L,18
ORD_00337,3,2026-01-12,270,-126.0,M,18
ORD_00360,3,2026-02-02,270,-174.0,M,18
ORD_00493,3,2026-01-14,270,-6.0,L,18
ORD_00524,3,2026-01-26,270,-174.0,M,18
ORD_00531,3,2026-01-27,270,90.0,L,18
ORD_00554,3,2026-01-06,270,-174.0,M,18
ORD_00587,3,2026-01-26,270,-150.0,M,18
ORD_00627,3,2026-01-13,270,-102.0,M,18
ORD_00662,3,2026-01-19,270,-174.0,M,18
ORD_00665,3,2026-01-18,270,-174.0,M,18
ORD_00672,3,2026-01-19,270,-126.0,M,18
ORD_00730,3,2026-01-10,270,-150.0,M,18
ORD_00739,3,2026-01-14,270,-78.0,L,18
ORD_00772,3,2026-01-20,270,-150.0,M,18
ORD_00804,3,2026-01-29,270,90.0,L,18
ORD_00841,3,2026-02-01,270,-222.0,H,18
ORD_00903,3,2026-01-26,270,-102.0,M,18
ORD_00956,3,2026-01-06,270,-222.0,H,18
ORD_00012,4,2026-01-15,270,-78.0,L,28
ORD_00097,4,2026-01-23,270,-102.0,M,28
ORD_00131,4,2026-02-02,270,-102.0,M,28
ORD_00214,4,2026-02-02,270,-174.0,M,28
ORD_00227,4,2026-01-23,270,-126.0,M,28
ORD_00274,4,2026-01-11,270,-126.0,M,28
ORD_00280,4,2026-01-27,270,-126.0,M,28
ORD_00298,4,2026-01-16,270,-150.0,M,28
ORD_00310,4,2026-01-15,270,-78.0,L,28
ORD_00337,4,2026-01-12,270,-126.0,M,28
ORD_00360,4,2026-02-02,270,-174.0,M,28
ORD_00493,4,2026-01-14,270,-6.0,L,28
ORD_00524,4,2026-01-26,270,-174.0,M,28
ORD_00531,4,2026-01-27,270,90.0,L,28
ORD_00554,4,2026-01-06,270,-174.0,M,28
ORD_00587,4,2026-01-26,270,-150.0,M,28
ORD_00627,4,2026-01-13,270,-102.0,M,28
ORD_00662,4,2026-01-19,270,-174.0,M,28
ORD_00665,4,2026-01-18,270,-174.0,M,28
ORD_00672,4,2026-01-19,270,-126.0,M,28
ORD_00730,4,2026-01-10,270,-150.0,M,28
ORD_00739,4,2026-01-14,270,-78.0,L,28
ORD_00772,4,2026-01-20,270,-150.0,M,28
ORD_00804,4,2026-01-29,270,90.0,L,28
ORD_00841,4,2026-02-01,270,-222.0,H,28
ORD_00903,4,2026-01-26,270,-102.0,M,28
ORD_00956,4,2026-01-06,270,-222.0,H,28
ORD_00012,5,2026-01-15,270,-78.0,L,34
ORD_00097,5,2026-01-23,270,-102.0,M,34
ORD_00131,5,2026-02-02,270,-102.0,M,34
ORD_00214,5,2026-02-02,270,-174.0,M,34
ORD_00227,5,2026-01-23,270,-126.0,M,34
ORD_00274,5,2026-01-11,270,-126.0,M,34
ORD_00280,5,2026-01-27,270,-126.0,M,34
ORD_00298,5,2026-01-16,270,-150.0,M,34
ORD_00310,5,2026-01-15,270,-78.0,L,34
ORD_00337,5,2026-01-12,270,-126.0,M,34
ORD_00360,5,2026-02-02,270,-174.0,M,34
ORD_00493,5,2026-01-14,270,-6.0,L,34
ORD_00524,5,2026-01-26,270,-174.0,M,34
ORD_00531,5,2026-01-27,270,90.0,L,34
ORD_00554,5,2026-01-06,270,-174.0,M,34
ORD_00587,5,2026-01-26,270,-150.0,M,34
ORD_00627,5,2026-01-13,270,-102.0,M,34
ORD_00662,5,2026-01-19,270,-174.0,M,34
ORD_00665,5,2026-01-18,270,-174.0,M,34
ORD_00672,5,2026-01-19,270,-126.0,M,34
ORD_00730,5,2026-01-10,270,-150.0,M,34
ORD_00739,5,2026-01-14,270,-78.0,L,34
ORD_00772,5,2026-01-20,270,-150.0,M,34
ORD_00804,5,2026-01-29,270,90.0,L,34
ORD_00841,5,2026-02-01,270,-222.0,H,34
ORD_00903,5,2026-01-26,270,-102.0,M,34
ORD_00956,5,2026-01-06,270,-222.0,H,34
ORD_00012,6,2026-01-15,270,-78.0,L,86
ORD_00097,6,2026-01-23,270,-102.0,M,86
ORD_00131,6,2026-02-02,270,-102.0,M,86
ORD_00214,6,2026-02-02,270,-174.0,M,86
ORD_00227,6,2026-01-23,270,-126.0,M,86
ORD_00274,6,2026-01-11,270,-126.0,M,86
ORD_00280,6,2026-01-27,270,-126.0,M,86
ORD_00298,6,2026-01-16,270,-150.0,M,86
ORD_00310,6,2026-01-15,270,-78.0,L,86
ORD_00337,6,2026-01-12,270,-126.0,M,86
ORD_00360,6,2026-02-02,270,-174.0,M,86
