machine_id,start_time,end_time,is_available
MIX_M1,2025-01-01 08:00:00,2025-01-01 16:00:00,1
MIX_M1,2025-01-01 16:00:00,2025-01-02 00:00:00,1
MIX_M1,2025-01-02 08:00:00,2025-01-02 16:00:00,1
MIX_M1,2025-01-02 16:00:00,2025-01-03 00:00:00,1
MIX_M1,2025-01-03 08:00:00,2025-01-03 16:00:00,1
MIX_M1,2025-01-03 16:00:00,2025-01-04 00:00:00,1
MIX_M1,2025-01-04 08:00:00,2025-01-04 16:00:00,1
MIX_M1,2025-01-04 16:00:00,2025-01-05 00:00:00,1
MIX_M1,2025-01-05 08:00:00,2025-01-05 16:00:00,1
MIX_M1,2025-01-05 16:00:00,2025-01-06 00:00:00,1
MIX_M2,2025-01-01 08:00:00,2025-01-01 16:00:00,1
MIX_M2,2025-01-01 16:00:00,2025-01-02 00:00:00,1
MIX_M2,2025-01-02 08:00:00,2025-01-02 16:00:00,1
MIX_M2,2025-01-02 16:00:00,2025-01-03 00:00:00,1
MIX_M2,2025-01-03 08:00:00,2025-01-03 16:00:00,1
MIX_M2,2025-01-03 16:00:00,2025-01-04 00:00:00,1
MIX_M2,2025-01-04 08:00:00,2025-01-04 16:00:00,1
MIX_M2,2025-01-04 16:00:00,2025-01-05 00:00:00,1
MIX_M2,2025-01-05 08:00:00,2025-01-05 16:00:00,1
MIX_M2,2025-01-05 16:00:00,2025-01-06 00:00:00,1
MIX_M3,2025-01-01 08:00:00,2025-01-01 16:00:00,1
MIX_M3,2025-01-01 16:00:00,2025-01-02 00:00:00,1
MIX_M3,2025-01-01 12:00:00,2025-01-01 14:00:00,0
MIX_M3,2025-01-02 08:00:00,2025-01-02 16:00:00,1
MIX_M3,2025-01-02 16:00:00,2025-01-03 00:00:00,1
MIX_M3,2025-01-03 08:00:00,2025-01-03 16:00:00,1
MIX_M3,2025-01-03 16:00:00,2025-01-04 00:00:00,1
MIX_M3,2025-01-04 08:00:00,2025-01-04 16:00:00,1
MIX_M3,2025-01-04 16:00:00,2025-01-05 00:00:00,1
MIX_M3,2025-01-04 12:00:00,2025-01-04 14:00:00,0
MIX_M3,2025-01-05 08:00:00,2025-01-05 16:00:00,1
MIX_M3,2025-01-05 16:00:00,2025-01-06 00:00:00,1
MIX_M4,2025-01-01 08:00:00,2025-01-01 16:00:00,1
MIX_M4,2025-01-01 16:00:00,2025-01-02 00:00:00,1
MIX_M4,2025-01-02 08:00:00,2025-01-02 16:00:00,1
MIX_M4,2025-01-02 16:00:00,2025-01-03 00:00:00,1
MIX_M4,2025-01-03 08:00:00,2025-01-03 16:00:00,1
MIX_M4,2025-01-03 16:00:00,2025-01-04 00:00:00,1
MIX_M4,2025-01-04 08:00:00,2025-01-04 16:00:00,1
MIX_M4,2025-01-04 16:00:00,2025-01-05 00:00:00,1
MIX_M4,2025-01-05 08:00:00,2025-01-05 16:00:00,1
MIX_M4,2025-01-05 16:00:00,2025-01-06 00:00:00,1
MIX_M4,2025-01-05 12:00:00,2025-01-05 14:00:00,0
CAL_M1,2025-01-01 08:00:00,2025-01-01 16:00:00,1
CAL_M1,2025-01-01 16:00:00,2025-01-02 00:00:00,1
CAL_M1,2025-01-02 08:00:00,2025-01-02 16:00:00,1
CAL_M1,2025-01-02 16:00:00,2025-01-03 00:00:00,1
CAL_M1,2025-01-03 08:00:00,2025-01-03 16:00:00,1
CAL_M1,2025-01-03 16:00:00,2025-01-04 00:00:00,1
CAL_M1,2025-01-04 08:00:00,2025-01-04 16:00:00,1
CAL_M1,2025-01-04 16:00:00,2025-01-05 00:00:00,1
CAL_M1,2025-01-04 12:00:00,2025-01-04 14:00:00,0
CAL_M1,2025-01-05 08:00:00,2025-01-05 16:00:00,1
CAL_M1,2025-01-05 16:00:00,2025-01-06 00:00:00,1
CAL_M2,2025-01-01 08:00:00,2025-01-01 16:00:00,1
CAL_M2,2025-01-01 16:00:00,2025-01-02 00:00:00,1
CAL_M2,2025-01-02 08:00:00,2025-01-02 16:00:00,1
CAL_M2,2025-01-02 16:00:00,2025-01-03 00:00:00,1
CAL_M2,2025-01-03 08:00:00,2025-01-03 16:00:00,1
CAL_M2,2025-01-03 16:00:00,2025-01-04 00:00:00,1
CAL_M2,2025-01-04 08:00:00,2025-01-04 16:00:00,1
CAL_M2,2025-01-04 16:00:00,2025-01-05 00:00:00,1
CAL_M2,2025-01-05 08:00:00,2025-01-05 16:00:00,1
CAL_M2,2025-01-05 16:00:00,2025-01-06 00:00:00,1
CAL_M3,2025-01-01 08:00:00,2025-01-01 16:00:00,1
CAL_M3,2025-01-01 16:00:00,2025-01-02 00:00:00,1
CAL_M3,2025-01-02 08:00:00,2025-01-02 16:00:00,1
CAL_M3,2025-01-02 16:00:00,2025-01-03 00:00:00,1
CAL_M3,2025-01-03 08:00:00,2025-01-03 16:00:00,1
CAL_M3,2025-01-03 16:00:00,2025-01-04 00:00:00,1
CAL_M3,2025-01-04 08:00:00,2025-01-04 16:00:00,1
