order_id,product_id,quantity,order_date,due_date,release_time,material_available_time,penalty_per_hour,level
MO_00001,TYRE_0036,56,2026-01-07,2026-01-10 00:00:00,2026-01-08 12:00:00,2026-01-09 00:00:00,69,0
MO_00002,TYRE_0148,56,2026-01-07,2026-01-09 20:00:00,2026-01-06 23:00:00,2026-01-07 00:00:00,69,1
MO_00003,TYRE_0116,47,2026-01-29,2026-02-01 00:00:00,2026-01-30 16:00:00,2026-01-31 00:00:00,29,0
MO_00004,TYRE_0132,46,2026-01-10,2026-01-15 00:00:00,2026-01-10 04:00:00,2026-01-12 19:00:00,72,0
MO_00005,TYRE_0052,46,2026-01-10,2026-01-14 20:00:00,2026-01-09 23:00:00,2026-01-10 00:00:00,72,1
MO_00006,TYRE_0145,92,2026-01-10,2026-01-14 12:00:00,2026-01-09 23:00:00,2026-01-10 00:00:00,72,2
MO_00007,TYRE_0087,138,2026-01-10,2026-01-14 12:00:00,2026-01-09 23:00:00,2026-01-10 00:00:00,72,2
MO_00008,TYRE_0084,46,2026-01-10,2026-01-14 20:00:00,2026-01-09 23:00:00,2026-01-10 00:00:00,72,1
MO_00009,TYRE_0081,99,2026-01-23,2026-01-26 00:00:00,2026-01-24 11:00:00,2026-01-25 19:00:00,33,0
MO_00010,TYRE_0086,95,2026-01-26,2026-02-02 00:00:00,2026-01-26 12:00:00,2026-01-28 01:00:00,84,0
MO_00011,TYRE_0093,285,2026-01-26,2026-02-01 20:00:00,2026-01-25 23:00:00,2026-01-26 00:00:00,84,1
MO_00012,TYRE_0102,1140,2026-01-26,2026-02-01 12:00:00,2026-01-25 23:00:00,2026-01-26 00:00:00,84,2
MO_00013,TYRE_0041,285,2026-01-26,2026-02-01 12:00:00,2026-01-25 23:00:00,2026-01-26 00:00:00,84,2
MO_00014,TYRE_0033,285,2026-01-26,2026-02-01 20:00:00,2026-01-25 23:00:00,2026-01-26 00:00:00,84,1
MO_00015,TYRE_0086,47,2026-01-03,2026-01-16 00:00:00,2026-01-03 16:00:00,2026-01-04 20:00:00,81,0
MO_00016,TYRE_0093,141,2026-01-03,2026-01-15 20:00:00,2026-01-02 23:00:00,2026-01-03 00:00:00,81,1
MO_00017,TYRE_0102,564,2026-01-03,2026-01-15 12:00:00,2026-01-02 23:00:00,2026-01-03 00:00:00,81,2
MO_00018,TYRE_0041,141,2026-01-03,2026-01-15 12:00:00,2026-01-02 23:00:00,2026-01-03 00:00:00,81,2
MO_00019,TYRE_0033,141,2026-01-03,2026-01-15 20:00:00,2026-01-02 23:00:00,2026-01-03 00:00:00,81,1
MO_00020,TYRE_0106,81,2026-01-18,2026-01-22 00:00:00,2026-01-19 01:00:00,2026-01-21 13:00:00,44,0
MO_00021,TYRE_0085,97,2026-01-25,2026-01-30 00:00:00,2026-01-26 19:00:00,2026-01-28 02:00:00,50,0
MO_00022,TYRE_0086,97,2026-01-24,2026-01-27 00:00:00,2026-01-24 19:00:00,2026-01-25 05:00:00,25,0
MO_00023,TYRE_0093,291,2026-01-24,2026-01-26 20:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,25,1
MO_00024,TYRE_0102,1164,2026-01-24,2026-01-26 12:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,25,2
MO_00025,TYRE_0041,291,2026-01-24,2026-01-26 12:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,25,2
MO_00026,TYRE_0033,291,2026-01-24,2026-01-26 20:00:00,2026-01-23 23:00:00,2026-01-24 00:00:00,25,1
MO_00027,TYRE_0108,9,2026-01-13,2026-01-18 00:00:00,2026-01-14 14:00:00,2026-01-15 07:00:00,89,0
MO_00028,TYRE_0127,18,2026-01-13,2026-01-17 20:00:00,2026-01-12 23:00:00,2026-01-13 00:00:00,89,1
MO_00029,TYRE_0142,72,2026-01-13,2026-01-17 12:00:00,2026-01-12 23:00:00,2026-01-13 00:00:00,89,2
MO_00030,TYRE_0011,54,2026-01-13,2026-01-17 12:00:00,2026-01-12 23:00:00,2026-01-13 00:00:00,89,2
MO_00031,TYRE_0112,108,2026-01-13,2026-01-17 00:00:00,2026-01-12 23:00:00,2026-01-13 00:00:00,89,3
MO_00032,TYRE_0039,162,2026-01-13,2026-01-17 00:00:00,2026-01-12 23:00:00,2026-01-13 00:00:00,89,3
MO_00033,TYRE_0061,61,2026-01-28,2026-01-29 00:00:00,2026-01-28 00:00:00,2026-01-28 00:00:00,15,0
MO_00034,TYRE_0095,183,2026-01-28,2026-01-28 20:00:00,2026-01-27 20:00:00,2026-01-28 00:00:00,15,1
MO_00035,TYRE_0126,57,2026-01-26,2026-01-31 00:00:00,2026-01-27 05:00:00,2026-01-28 01:00:00,29,0
MO_00036,TYRE_0089,114,2026-01-26,2026-01-30 20:00:00,2026-01-25 23:00:00,2026-01-26 00:00:00,29,1
MO_00037,TYRE_0009,95,2026-01-07,2026-01-15 00:00:00,2026-01-07 15:00:00,2026-01-08 02:00:00,65,0
MO_00038,TYRE_0120,72,2026-01-25,2026-02-01 00:00:00,2026-01-25 06:00:00,2026-01-26 01:00:00,84,0
MO_00039,TYRE_0080,72,2026-01-25,2026-01-31 20:00:00,2026-01-24 23:00:00,2026-01-25 00:00:00,84,1
MO_00040,TYRE_0017,72,2026-01-25,2026-01-31 12:00:00,2026-01-24 23:00:00,2026-01-25 00:00:00,84,2
MO_00041,TYRE_0066,216,2026-01-25,2026-01-31 00:00:00,2026-01-24 23:00:00,2026-01-25 00:00:00,84,3
MO_00042,TYRE_0135,72,2026-01-25,2026-01-31 00:00:00,2026-01-24 23:00:00,2026-01-25 00:00:00,84,3
MO_00043,TYRE_0012,74,2026-01-04,2026-01-10 00:00:00,2026-01-05 05:00:00,2026-01-05 11:00:00,17,0
MO_00044,TYRE_0143,83,2026-01-13,2026-01-25 00:00:00,2026-01-13 01:00:00,2026-01-15 23:00:00,93,0
MO_00045,TYRE_0094,332,2026-01-13,2026-01-24 20:00:00,2026-01-12 23:00:00,2026-01-13 00:00:00,93,1
MO_00046,TYRE_0102,33,2026-01-20,2026-01-26 00:00:00,2026-01-20 11:00:00,2026-01-20 12:00:00,15,0
MO_00047,TYRE_0076,93,2026-01-01,2026-01-06 00:00:00,2026-01-02 18:00:00,2026-01-04 12:00:00,17,0
MO_00048,TYRE_0081,41,2026-01-08,2026-01-14 00:00:00,2026-01-09 15:00:00,2026-01-10 11:00:00,71,0
MO_00049,TYRE_0055,49,2026-01-14,2026-01-21 00:00:00,2026-01-14 00:00:00,2026-01-15 04:00:00,23,0
MO_00050,TYRE_0009,196,2026-01-14,2026-01-20 20:00:00,2026-01-14 00:00:00,2026-01-14 00:00:00,23,1
MO_00051,TYRE_0053,98,2026-01-14,2026-01-20 20:00:00,2026-01-14 00:00:00,2026-01-14 00:00:00,23,1
MO_00052,TYRE_0122,294,2026-01-14,2026-01-20 12:00:00,2026-01-14 00:00:00,2026-01-14 00:00:00,23,2
MO_00053,TYRE_0112,882,2026-01-14,2026-01-20 00:00:00,2026-01-14 00:00:00,2026-01-14 00:00:00,23,3
MO_00054,TYRE_0110,196,2026-01-14,2026-01-20 12:00:00,2026-01-14 00:00:00,2026-01-14 00:00:00,23,2
MO_00055,TYRE_0042,588,2026-01-14,2026-01-20 00:00:00,2026-01-14 00:00:00,2026-01-14 00:00:00,23,3
MO_00056,TYRE_0037,96,2026-01-16,2026-01-22 00:00:00,2026-01-16 02:00:00,2026-01-17 09:00:00,12,0
MO_00057,TYRE_0135,192,2026-01-16,2026-01-21 20:00:00,2026-01-15 23:00:00,2026-01-16 00:00:00,12,1
MO_00058,TYRE_0082,384,2026-01-16,2026-01-21 12:00:00,2026-01-15 23:00:00,2026-01-16 00:00:00,12,2
