order_id,product_id,quantity,order_date,due_date,priority,release_time,penalty_per_hour
ORD_00000,TYRE_0036,56,2026-01-07,2026-01-10,H,2026-01-07,69
ORD_00001,TYRE_0116,47,2026-01-29,2026-02-01,H,2026-01-29,23
ORD_00002,TYRE_0132,46,2026-01-10,2026-01-15,M,2026-01-10,18
ORD_00003,TYRE_0081,99,2026-01-23,2026-01-26,H,2026-01-23,99
ORD_00004,TYRE_0086,95,2026-01-26,2026-02-02,M,2026-01-26,62
ORD_00005,TYRE_0086,47,2026-01-03,2026-01-16,L,2026-01-03,11
ORD_00006,TYRE_0106,81,2026-01-18,2026-01-22,M,2026-01-18,93
ORD_00007,TYRE_0085,97,2026-01-25,2026-01-30,M,2026-01-25,69
ORD_00008,TYRE_0086,97,2026-01-24,2026-01-27,H,2026-01-24,80
ORD_00009,TYRE_0108,9,2026-01-13,2026-01-18,M,2026-01-13,53
ORD_00010,TYRE_0061,61,2026-01-28,2026-01-29,H,2026-01-28,17
ORD_00011,TYRE_0126,57,2026-01-26,2026-01-31,M,2026-01-26,56
ORD_00012,TYRE_0009,95,2026-01-07,2026-01-15,L,2026-01-07,44
ORD_00013,TYRE_0120,72,2026-01-25,2026-02-01,M,2026-01-25,87
ORD_00014,TYRE_0012,74,2026-01-04,2026-01-10,M,2026-01-04,90
ORD_00015,TYRE_0143,83,2026-01-13,2026-01-25,L,2026-01-13,45
ORD_00016,TYRE_0102,33,2026-01-20,2026-01-26,M,2026-01-20,59
ORD_00017,TYRE_0076,93,2026-01-01,2026-01-06,M,2026-01-01,13
ORD_00018,TYRE_0081,41,2026-01-08,2026-01-14,M,2026-01-08,11
ORD_00019,TYRE_0055,49,2026-01-14,2026-01-21,M,2026-01-14,15
ORD_00020,TYRE_0037,96,2026-01-16,2026-01-22,M,2026-01-16,63
ORD_00021,TYRE_0048,100,2026-01-14,2026-01-20,M,2026-01-14,13
ORD_00022,TYRE_0120,76,2026-01-12,2026-01-24,L,2026-01-12,63
ORD_00023,TYRE_0035,80,2026-01-19,2026-01-22,H,2026-01-19,72
ORD_00024,TYRE_0116,86,2026-01-23,2026-01-28,M,2026-01-23,27
ORD_00025,TYRE_0042,17,2026-01-15,2026-01-22,M,2026-01-15,99
ORD_00026,TYRE_0035,25,2026-01-28,2026-01-31,H,2026-01-28,53
ORD_00027,TYRE_0048,66,2026-01-02,2026-01-17,L,2026-01-02,43
ORD_00028,TYRE_0073,16,2026-01-02,2026-01-06,M,2026-01-02,83
ORD_00029,TYRE_0059,27,2026-01-23,2026-01-27,M,2026-01-23,71
ORD_00030,TYRE_0108,55,2026-01-22,2026-01-23,H,2026-01-22,23
ORD_00031,TYRE_0047,9,2026-01-19,2026-01-31,L,2026-01-19,57
ORD_00032,TYRE_0080,41,2026-01-25,2026-01-31,M,2026-01-25,24
ORD_00033,TYRE_0085,22,2026-01-26,2026-02-02,M,2026-01-26,81
ORD_00034,TYRE_0119,47,2026-01-30,2026-02-03,M,2026-01-30,87
ORD_00035,TYRE_0109,6,2026-01-29,2026-02-03,M,2026-01-29,96
ORD_00036,TYRE_0075,27,2026-01-22,2026-01-27,M,2026-01-22,71
ORD_00037,TYRE_0085,70,2026-01-26,2026-02-09,L,2026-01-26,49
ORD_00038,TYRE_0135,22,2026-01-26,2026-01-31,M,2026-01-26,94
ORD_00039,TYRE_0048,54,2026-01-22,2026-01-28,M,2026-01-22,89
ORD_00040,TYRE_0143,43,2026-01-17,2026-01-23,M,2026-01-17,91
ORD_00041,TYRE_0080,51,2026-01-20,2026-01-23,H,2026-01-20,62
ORD_00042,TYRE_0015,44,2026-01-10,2026-01-17,M,2026-01-10,33
ORD_00043,TYRE_0055,93,2026-01-06,2026-01-12,M,2026-01-06,35
ORD_00044,TYRE_0048,83,2026-01-15,2026-01-28,L,2026-01-15,98
ORD_00045,TYRE_0126,100,2026-01-22,2026-01-29,M,2026-01-22,69
ORD_00046,TYRE_0095,73,2026-01-11,2026-01-18,M,2026-01-11,50
ORD_00047,TYRE_0055,72,2026-01-28,2026-02-01,M,2026-01-28,38
ORD_00048,TYRE_0061,12,2026-01-05,2026-01-09,M,2026-01-05,24
ORD_00049,TYRE_0129,26,2026-01-01,2026-01-06,M,2026-01-01,54
ORD_00050,TYRE_0118,96,2026-01-08,2026-01-13,M,2026-01-08,74
ORD_00051,TYRE_0113,12,2026-01-21,2026-02-05,L,2026-01-21,98
ORD_00052,TYRE_0118,76,2026-01-28,2026-02-01,M,2026-01-28,80
ORD_00053,TYRE_0090,55,2026-01-12,2026-01-16,M,2026-01-12,18
ORD_00054,TYRE_0043,10,2026-01-12,2026-01-16,M,2026-01-12,97
ORD_00055,TYRE_0061,13,2026-01-05,2026-01-06,H,2026-01-05,10
ORD_00056,TYRE_0120,28,2026-01-07,2026-01-09,H,2026-01-07,17
ORD_00057,TYRE_0107,62,2026-01-04,2026-01-11,M,2026-01-04,97
ORD_00058,TYRE_0096,88,2026-01-06,2026-01-11,M,2026-01-06,72
ORD_00059,TYRE_0030,55,2026-01-13,2026-01-16,H,2026-01-13,20
ORD_00060,TYRE_0119,7,2026-01-20,2026-01-28,L,2026-01-20,90
ORD_00061,TYRE_0118,73,2026-01-30,2026-02-06,M,2026-01-30,17
ORD_00062,TYRE_0102,24,2026-01-15,2026-01-21,M,2026-01-15,44
ORD_00063,TYRE_0048,9,2026-01-03,2026-01-12,L,2026-01-03,44
ORD_00064,TYRE_0107,35,2026-01-23,2026-01-27,M,2026-01-23,42
ORD_00065,TYRE_0042,81,2026-01-08,2026-01-15,M,2026-01-08,14
ORD_00066,TYRE_0012,56,2026-01-20,2026-01-24,M,2026-01-20,50
ORD_00067,TYRE_0145,22,2026-01-16,2026-01-20,M,2026-01-16,37
ORD_00068,TYRE_0025,78,2026-01-13,2026-01-19,M,2026-01-13,16
ORD_00069,TYRE_0055,43,2026-01-18,2026-01-29,L,2026-01-18,82
ORD_00070,TYRE_0133,40,2026-01-28,2026-02-03,M,2026-01-28,81
ORD_00071,TYRE_0080,85,2026-01-10,2026-01-20,L,2026-01-10,21
ORD_00072,TYRE_0142,87,2026-01-30,2026-02-05,M,2026-01-30,43
ORD_00073,TYRE_0134,57,2026-01-19,2026-01-26,M,2026-01-19,42
ORD_00074,TYRE_0135,65,2026-01-17,2026-01-20,H,2026-01-17,57
ORD_00075,TYRE_0102,64,2026-01-24,2026-01-29,M,2026-01-24,32
ORD_00076,TYRE_0143,76,2026-01-19,2026-01-26,M,2026-01-19,71
ORD_00077,TYRE_0135,47,2026-01-28,2026-02-02,M,2026-01-28,97
ORD_00078,TYRE_0048,16,2026-01-26,2026-02-01,M,2026-01-26,46
ORD_00079,TYRE_0108,53,2026-01-23,2026-01-25,H,2026-01-23,53
ORD_00080,TYRE_0010,80,2026-01-26,2026-02-06,L,2026-01-26,95
ORD_00081,TYRE_0143,47,2026-01-05,2026-01-10,M,2026-01-05,44
ORD_00082,TYRE_0048,99,2026-01-26,2026-01-27,H,2026-01-26,74
ORD_00083,TYRE_0143,94,2026-01-21,2026-01-26,M,2026-01-21,56
ORD_00084,TYRE_0120,75,2026-01-30,2026-02-04,M,2026-01-30,87
ORD_00085,TYRE_0025,44,2026-01-23,2026-01-29,M,2026-01-23,12
ORD_00086,TYRE_0118,17,2026-01-09,2026-01-24,L,2026-01-09,10
ORD_00087,TYRE_0120,31,2026-01-12,2026-01-18,M,2026-01-12,14
ORD_00088,TYRE_0112,99,2026-01-21,2026-01-22,H,2026-01-21,99
ORD_00089,TYRE_0106,42,2026-01-01,2026-01-08,M,2026-01-01,23
ORD_00090,TYRE_0124,68,2026-01-26,2026-01-31,M,2026-01-26,36
ORD_00091,TYRE_0055,97,2026-01-26,2026-02-02,M,2026-01-26,18
ORD_00092,TYRE_0086,26,2026-01-01,2026-01-07,M,2026-01-01,88
ORD_00093,TYRE_0145,72,2026-01-15,2026-01-19,M,2026-01-15,24
ORD_00094,TYRE_0149,11,2026-01-02,2026-01-05,H,2026-01-02,99
ORD_00095,TYRE_0105,34,2026-01-30,2026-02-02,H,2026-01-30,51
ORD_00096,TYRE_0126,63,2026-01-22,2026-01-25,H,2026-01-22,86
ORD_00097,TYRE_0009,89,2026-01-16,2026-01-23,M,2026-01-16,60
ORD_00098,TYRE_0043,6,2026-01-25,2026-02-01,M,2026-01-25,72
ORD_00099,TYRE_0119,7,2026-01-08,2026-01-14,M,2026-01-08,61
ORD_00100,TYRE_0061,18,2026-01-13,2026-01-18,M,2026-01-13,13
ORD_00101,TYRE_0134,84,2026-01-21,2026-01-22,H,2026-01-21,32
ORD_00102,TYRE_0108,15,2026-01-01,2026-01-08,M,2026-01-01,24
ORD_00103,TYRE_0135,94,2026-01-16,2026-01-21,M,2026-01-16,52
ORD_00104,TYRE_0055,88,2026-01-29,2026-02-07,L,2026-01-29,38
ORD_00105,TYRE_0008,53,2026-01-07,2026-01-09,H,2026-01-07,45
ORD_00106,TYRE_0116,15,2026-01-05,2026-01-10,M,2026-01-05,22
ORD_00107,TYRE_0112,77,2026-01-22,2026-01-28,M,2026-01-22,41
ORD_00108,TYRE_0024,34,2026-01-29,2026-02-06,L,2026-01-29,80
ORD_00109,TYRE_0149,39,2026-01-23,2026-01-30,M,2026-01-23,68
ORD_00110,TYRE_0113,74,2026-01-03,2026-01-09,M,2026-01-03,95
ORD_00111,TYRE_0116,7,2026-01-12,2026-01-14,H,2026-01-12,37
