product_id,family,complexity
TYRE_0000,PCR,S
TYRE_0001,OTR,C
TYRE_0002,TBR,M
TYRE_0003,PCR,S
TYRE_0004,PCR,S
TYRE_0005,PCR,S
TYRE_0006,PCR,S
TYRE_0007,TBR,M
TYRE_0008,TBR,M
TYRE_0009,TBR,M
TYRE_0010,PCR,S
TYRE_0011,OTR,C
TYRE_0012,TBR,M
TYRE_0013,PCR,S
TYRE_0014,PCR,S
TYRE_0015,PCR,S
TYRE_0016,PCR,S
TYRE_0017,PCR,S
TYRE_0018,PCR,S
TYRE_0019,PCR,S
TYRE_0020,TBR,M
TYRE_0021,PCR,S
TYRE_0022,PCR,S
TYRE_0023,PCR,S
TYRE_0024,PCR,S
TYRE_0025,TBR,M
TYRE_0026,PCR,S
TYRE_0027,PCR,S
TYRE_0028,PCR,S
TYRE_0029,PCR,S
TYRE_0030,TBR,M
TYRE_0031,PCR,S
TYRE_0032,PCR,S
TYRE_0033,OTR,C
TYRE_0034,OTR,C
TYRE_0035,TBR,M
TYRE_0036,PCR,S
TYRE_0037,PCR,S
TYRE_0038,TBR,M
TYRE_0039,PCR,S
TYRE_0040,PCR,S
TYRE_0041,PCR,S
TYRE_0042,PCR,S
TYRE_0043,OTR,C
TYRE_0044,PCR,S
TYRE_0045,TBR,M
TYRE_0046,PCR,S
TYRE_0047,PCR,S
TYRE_0048,PCR,S
TYRE_0049,PCR,S
TYRE_0050,OTR,C
TYRE_0051,TBR,M
TYRE_0052,OTR,C
TYRE_0053,TBR,M
TYRE_0054,PCR,S
TYRE_0055,OTR,C
TYRE_0056,PCR,S
TYRE_0057,PCR,S
TYRE_0058,PCR,S
TYRE_0059,PCR,S
TYRE_0060,PCR,S
TYRE_0061,PCR,S
TYRE_0062,TBR,M
TYRE_0063,PCR,S
TYRE_0064,PCR,S
TYRE_0065,PCR,S
TYRE_0066,PCR,S
TYRE_0067,TBR,M
TYRE_0068,PCR,S
TYRE_0069,OTR,C
TYRE_0070,TBR,M
TYRE_0071,PCR,S
TYRE_0072,PCR,S
TYRE_0073,TBR,M
TYRE_0074,TBR,M
TYRE_0075,TBR,M
TYRE_0076,TBR,M
TYRE_0077,PCR,S
TYRE_0078,PCR,S
TYRE_0079,PCR,S
TYRE_0080,TBR,M
TYRE_0081,TBR,M
TYRE_0082,PCR,S
TYRE_0083,PCR,S
TYRE_0084,PCR,S
TYRE_0085,PCR,S
TYRE_0086,TBR,M
TYRE_0087,TBR,M
TYRE_0088,TBR,M
TYRE_0089,PCR,S
TYRE_0090,PCR,S
TYRE_0091,TBR,M
TYRE_0092,TBR,M
TYRE_0093,PCR,S
TYRE_0094,TBR,M
TYRE_0095,PCR,S
TYRE_0096,PCR,S
TYRE_0097,PCR,S
TYRE_0098,PCR,S
TYRE_0099,PCR,S
TYRE_0100,PCR,S
TYRE_0101,TBR,M
TYRE_0102,PCR,S
TYRE_0103,PCR,S
TYRE_0104,OTR,C
TYRE_0105,PCR,S
TYRE_0106,PCR,S
TYRE_0107,TBR,M
TYRE_0108,PCR,S
TYRE_0109,PCR,S
TYRE_0110,PCR,S
TYRE_0111,PCR,S
TYRE_0112,OTR,C
TYRE_0113,TBR,M
TYRE_0114,TBR,M
TYRE_0115,TBR,M
TYRE_0116,TBR,M
TYRE_0117,PCR,S
TYRE_0118,TBR,M
TYRE_0119,PCR,S
TYRE_0120,TBR,M
TYRE_0121,TBR,M
TYRE_0122,PCR,S
TYRE_0123,PCR,S
TYRE_0124,PCR,S
TYRE_0125,PCR,S
TYRE_0126,TBR,M
TYRE_0127,TBR,M
TYRE_0128,PCR,S
TYRE_0129,PCR,S
TYRE_0130,PCR,S
TYRE_0131,PCR,S
TYRE_0132,PCR,S
TYRE_0133,PCR,S
TYRE_0134,OTR,C
TYRE_0135,PCR,S
TYRE_0136,PCR,S
TYRE_0137,TBR,M
TYRE_0138,PCR,S
TYRE_0139,OTR,C
TYRE_0140,OTR,C
TYRE_0141,PCR,S
TYRE_0142,PCR,S
TYRE_0143,PCR,S
TYRE_0144,PCR,S
TYRE_0145,PCR,S
TYRE_0146,TBR,M
TYRE_0147,PCR,S
TYRE_0148,PCR,S
TYRE_0149,PCR,S
