order_id,product_id,quantity,order_date,due_date,priority
ORD_00000,TYRE_0036,56,2026-01-07,2026-01-10,H
ORD_00001,TYRE_0116,47,2026-01-29,2026-02-01,H
ORD_00002,TYRE_0132,46,2026-01-10,2026-01-15,M
ORD_00003,TYRE_0081,99,2026-01-23,2026-01-26,H
ORD_00004,TYRE_0086,95,2026-01-26,2026-02-02,M
ORD_00005,TYRE_0086,47,2026-01-03,2026-01-16,L
ORD_00006,TYRE_0106,81,2026-01-18,2026-01-22,M
ORD_00007,TYRE_0085,97,2026-01-25,2026-01-30,M
ORD_00008,TYRE_0086,97,2026-01-24,2026-01-27,H
ORD_00009,TYRE_0108,9,2026-01-13,2026-01-18,M
ORD_00010,TYRE_0061,61,2026-01-28,2026-01-29,H
ORD_00011,TYRE_0126,57,2026-01-26,2026-01-31,M
ORD_00012,TYRE_0009,95,2026-01-07,2026-01-15,L
ORD_00013,TYRE_0120,72,2026-01-25,2026-02-01,M
ORD_00014,TYRE_0012,74,2026-01-04,2026-01-10,M
ORD_00015,TYRE_0143,83,2026-01-13,2026-01-25,L
ORD_00016,TYRE_0102,33,2026-01-20,2026-01-26,M
ORD_00017,TYRE_0076,93,2026-01-01,2026-01-06,M
ORD_00018,TYRE_0081,41,2026-01-08,2026-01-14,M
ORD_00019,TYRE_0055,49,2026-01-14,2026-01-21,M
ORD_00020,TYRE_0037,96,2026-01-16,2026-01-22,M
ORD_00021,TYRE_0048,100,2026-01-14,2026-01-20,M
ORD_00022,TYRE_0120,76,2026-01-12,2026-01-24,L
ORD_00023,TYRE_0035,80,2026-01-19,2026-01-22,H
ORD_00024,TYRE_0116,86,2026-01-23,2026-01-28,M
ORD_00025,TYRE_0042,17,2026-01-15,2026-01-22,M
ORD_00026,TYRE_0035,25,2026-01-28,2026-01-31,H
ORD_00027,TYRE_0048,66,2026-01-02,2026-01-17,L
ORD_00028,TYRE_0073,16,2026-01-02,2026-01-06,M
ORD_00029,TYRE_0059,27,2026-01-23,2026-01-27,M
ORD_00030,TYRE_0108,55,2026-01-22,2026-01-23,H
ORD_00031,TYRE_0047,9,2026-01-19,2026-01-31,L
ORD_00032,TYRE_0080,41,2026-01-25,2026-01-31,M
ORD_00033,TYRE_0085,22,2026-01-26,2026-02-02,M
ORD_00034,TYRE_0119,47,2026-01-30,2026-02-03,M
ORD_00035,TYRE_0109,6,2026-01-29,2026-02-03,M
ORD_00036,TYRE_0075,27,2026-01-22,2026-01-27,M
ORD_00037,TYRE_0085,70,2026-01-26,2026-02-09,L
ORD_00038,TYRE_0135,22,2026-01-26,2026-01-31,M
ORD_00039,TYRE_0048,54,2026-01-22,2026-01-28,M
ORD_00040,TYRE_0143,43,2026-01-17,2026-01-23,M
ORD_00041,TYRE_0080,51,2026-01-20,2026-01-23,H
ORD_00042,TYRE_0015,44,2026-01-10,2026-01-17,M
ORD_00043,TYRE_0055,93,2026-01-06,2026-01-12,M
ORD_00044,TYRE_0048,83,2026-01-15,2026-01-28,L
ORD_00045,TYRE_0126,100,2026-01-22,2026-01-29,M
ORD_00046,TYRE_0095,73,2026-01-11,2026-01-18,M
ORD_00047,TYRE_0055,72,2026-01-28,2026-02-01,M
ORD_00048,TYRE_0061,12,2026-01-05,2026-01-09,M
ORD_00049,TYRE_0129,26,2026-01-01,2026-01-06,M
ORD_00050,TYRE_0118,96,2026-01-08,2026-01-13,M
ORD_00051,TYRE_0113,12,2026-01-21,2026-02-05,L
ORD_00052,TYRE_0118,76,2026-01-28,2026-02-01,M
ORD_00053,TYRE_0090,55,2026-01-12,2026-01-16,M
ORD_00054,TYRE_0043,10,2026-01-12,2026-01-16,M
ORD_00055,TYRE_0061,13,2026-01-05,2026-01-06,H
ORD_00056,TYRE_0120,28,2026-01-07,2026-01-09,H
ORD_00057,TYRE_0107,62,2026-01-04,2026-01-11,M
ORD_00058,TYRE_0096,88,2026-01-06,2026-01-11,M
ORD_00059,TYRE_0030,55,2026-01-13,2026-01-16,H
ORD_00060,TYRE_0119,7,2026-01-20,2026-01-28,L
ORD_00061,TYRE_0118,73,2026-01-30,2026-02-06,M
ORD_00062,TYRE_0102,24,2026-01-15,2026-01-21,M
ORD_00063,TYRE_0048,9,2026-01-03,2026-01-12,L
ORD_00064,TYRE_0107,35,2026-01-23,2026-01-27,M
ORD_00065,TYRE_0042,81,2026-01-08,2026-01-15,M
ORD_00066,TYRE_0012,56,2026-01-20,2026-01-24,M
ORD_00067,TYRE_0145,22,2026-01-16,2026-01-20,M
ORD_00068,TYRE_0025,78,2026-01-13,2026-01-19,M
ORD_00069,TYRE_0055,43,2026-01-18,2026-01-29,L
ORD_00070,TYRE_0133,40,2026-01-28,2026-02-03,M
ORD_00071,TYRE_0080,85,2026-01-10,2026-01-20,L
ORD_00072,TYRE_0142,87,2026-01-30,2026-02-05,M
ORD_00073,TYRE_0134,57,2026-01-19,2026-01-26,M
ORD_00074,TYRE_0135,65,2026-01-17,2026-01-20,H
ORD_00075,TYRE_0102,64,2026-01-24,2026-01-29,M
ORD_00076,TYRE_0143,76,2026-01-19,2026-01-26,M
ORD_00077,TYRE_0135,47,2026-01-28,2026-02-02,M
ORD_00078,TYRE_0048,16,2026-01-26,2026-02-01,M
ORD_00079,TYRE_0108,53,2026-01-23,2026-01-25,H
ORD_00080,TYRE_0010,80,2026-01-26,2026-02-06,L
ORD_00081,TYRE_0143,47,2026-01-05,2026-01-10,M
ORD_00082,TYRE_0048,99,2026-01-26,2026-01-27,H
ORD_00083,TYRE_0143,94,2026-01-21,2026-01-26,M
ORD_00084,TYRE_0120,75,2026-01-30,2026-02-04,M
ORD_00085,TYRE_0025,44,2026-01-23,2026-01-29,M
ORD_00086,TYRE_0118,17,2026-01-09,2026-01-24,L
ORD_00087,TYRE_0120,31,2026-01-12,2026-01-18,M
ORD_00088,TYRE_0112,99,2026-01-21,2026-01-22,H
ORD_00089,TYRE_0106,42,2026-01-01,2026-01-08,M
ORD_00090,TYRE_0124,68,2026-01-26,2026-01-31,M
ORD_00091,TYRE_0055,97,2026-01-26,2026-02-02,M
ORD_00092,TYRE_0086,26,2026-01-01,2026-01-07,M
ORD_00093,TYRE_0145,72,2026-01-15,2026-01-19,M
ORD_00094,TYRE_0149,11,2026-01-02,2026-01-05,H
ORD_00095,TYRE_0105,34,2026-01-30,2026-02-02,H
