machine_id,department,shift_start,shift_end,capacity
MIX_M1,MIX,08:00,20:00,1
MIX_M2,MIX,08:00,20:00,1
MIX_M3,MIX,08:00,20:00,1
MIX_M4,MIX,08:00,20:00,1
CAL_M1,CAL,08:00,20:00,1
CAL_M2,CAL,08:00,20:00,1
CAL_M3,CAL,08:00,20:00,1
CAL_M4,CAL,08:00,20:00,1
EXT_M1,EXT,08:00,20:00,1
EXT_M2,EXT,08:00,20:00,1
EXT_M3,EXT,08:00,20:00,1
EXT_M4,EXT,08:00,20:00,1
EXT_M5,EXT,08:00,20:00,1
BLD_M1,BLD,08:00,20:00,1
BLD_M2,BLD,08:00,20:00,1
BLD_M3,BLD,08:00,20:00,1
BLD_M4,BLD,08:00,20:00,1
BLD_M5,BLD,08:00,20:00,1
BLD_M6,BLD,08:00,20:00,1
CUR_M1,CUR,08:00,20:00,1
CUR_M2,CUR,08:00,20:00,1
CUR_M3,CUR,08:00,20:00,1
CUR_M4,CUR,08:00,20:00,1
CUR_M5,CUR,08:00,20:00,1
CUR_M6,CUR,08:00,20:00,1
CUR_M7,CUR,08:00,20:00,1
CUR_M8,CUR,08:00,20:00,1
FIN_M1,FIN,08:00,20:00,1
FIN_M2,FIN,08:00,20:00,1
FIN_M3,FIN,08:00,20:00,1
FIN_M4,FIN,08:00,20:00,1
INS_M1,INS,08:00,20:00,1
INS_M2,INS,08:00,20:00,1
INS_M3,INS,08:00,20:00,1
