product_id,operation_seq,department,machine_id,proc_time_min
TYRE_0000,1,MIX,MIX_M1,10
TYRE_0000,2,CAL,CAL_M3,22
TYRE_0000,3,EXT,EXT_M2,19
TYRE_0000,4,BLD,BLD_M6,23
TYRE_0000,5,CUR,CUR_M2,77
TYRE_0000,6,FIN,FIN_M4,11
TYRE_0000,7,INS,INS_M1,12
TYRE_0001,1,MIX,MIX_M2,17
TYRE_0001,2,CAL,CAL_M1,32
TYRE_0001,3,CAL,CAL_M2,37
TYRE_0001,4,EXT,EXT_M5,28
TYRE_0001,5,EXT,EXT_M2,29
TYRE_0001,6,BLD,BLD_M5,28
TYRE_0001,7,CUR,CUR_M1,88
TYRE_0001,8,CUR,CUR_M3,84
TYRE_0001,9,FIN,FIN_M4,20
TYRE_0001,10,INS,INS_M2,14
TYRE_0002,1,MIX,MIX_M2,20
TYRE_0002,2,CAL,CAL_M1,17
TYRE_0002,3,EXT,EXT_M4,18
TYRE_0002,4,EXT,EXT_M3,42
TYRE_0002,5,BLD,BLD_M3,39
TYRE_0002,6,CUR,CUR_M5,42
TYRE_0002,7,FIN,FIN_M4,27
TYRE_0002,8,INS,INS_M1,22
TYRE_0003,1,MIX,MIX_M1,27
TYRE_0003,2,CAL,CAL_M3,41
TYRE_0003,3,EXT,EXT_M5,43
TYRE_0003,4,BLD,BLD_M3,38
TYRE_0003,5,CUR,CUR_M4,85
TYRE_0003,6,FIN,FIN_M1,11
TYRE_0003,7,INS,INS_M3,17
TYRE_0004,1,MIX,MIX_M3,12
TYRE_0004,2,CAL,CAL_M2,42
TYRE_0004,3,EXT,EXT_M1,27
TYRE_0004,4,BLD,BLD_M3,34
TYRE_0004,5,CUR,CUR_M6,50
TYRE_0004,6,FIN,FIN_M3,21
TYRE_0004,7,INS,INS_M1,18
TYRE_0005,1,MIX,MIX_M1,29
TYRE_0005,2,CAL,CAL_M2,32
TYRE_0005,3,EXT,EXT_M2,20
TYRE_0005,4,BLD,BLD_M4,32
TYRE_0005,5,CUR,CUR_M5,80
TYRE_0005,6,FIN,FIN_M2,20
TYRE_0005,7,INS,INS_M1,17
TYRE_0006,1,MIX,MIX_M1,20
TYRE_0006,2,CAL,CAL_M4,23
TYRE_0006,3,EXT,EXT_M1,21
TYRE_0006,4,BLD,BLD_M5,48
TYRE_0006,5,CUR,CUR_M6,53
TYRE_0006,6,FIN,FIN_M4,22
TYRE_0006,7,INS,INS_M3,24
TYRE_0007,1,MIX,MIX_M2,18
TYRE_0007,2,CAL,CAL_M2,22
TYRE_0007,3,EXT,EXT_M5,32
TYRE_0007,4,EXT,EXT_M3,38
TYRE_0007,5,BLD,BLD_M5,33
TYRE_0007,6,CUR,CUR_M7,63
TYRE_0007,7,FIN,FIN_M2,14
TYRE_0007,8,INS,INS_M3,25
TYRE_0008,1,MIX,MIX_M1,11
TYRE_0008,2,CAL,CAL_M1,19
TYRE_0008,3,EXT,EXT_M2,40
TYRE_0008,4,EXT,EXT_M4,34
TYRE_0008,5,BLD,BLD_M1,32
TYRE_0008,6,CUR,CUR_M7,78
TYRE_0008,7,FIN,FIN_M4,26
TYRE_0008,8,INS,INS_M2,27
TYRE_0009,1,MIX,MIX_M1,13
TYRE_0009,2,CAL,CAL_M3,39
TYRE_0009,3,EXT,EXT_M3,18
TYRE_0009,4,EXT,EXT_M3,28
TYRE_0009,5,BLD,BLD_M2,34
TYRE_0009,6,CUR,CUR_M1,86
TYRE_0009,7,FIN,FIN_M3,26
TYRE_0009,8,INS,INS_M1,26
TYRE_0010,1,MIX,MIX_M1,30
TYRE_0010,2,CAL,CAL_M3,41
TYRE_0010,3,EXT,EXT_M5,34
TYRE_0010,4,BLD,BLD_M2,24
TYRE_0010,5,CUR,CUR_M6,88
TYRE_0010,6,FIN,FIN_M2,27
TYRE_0010,7,INS,INS_M3,10
TYRE_0011,1,MIX,MIX_M3,25
TYRE_0011,2,CAL,CAL_M1,18
TYRE_0011,3,CAL,CAL_M3,43
TYRE_0011,4,EXT,EXT_M3,22
TYRE_0011,5,EXT,EXT_M1,22
